post_id,url,frame_ocr_text,confidence,status
224040797563,https://mblogvideo-phinf.pstatic.net/MjAyNTEwMTRfOTIg/MDAxNzYwNDE3ODI0Njcx.R4TaEuOqI194QPDTUZWAj0UbG5eYWrZdvvF_QFPRNj8g.rLUkeah4jj9ly2JOJy-tQx3rTkH90bcH6NuviwJ-mcEg.GIF/se%EF%BC%BFone%EF%BC%BFani%EF%BC%BF20251014%EF%BC%BF135444%EF%BC%BFa.gif?type=mp4w800,MANAGEMENT TRANiNG natlonetkorea 5FU,0.4829887324627496,success
223858479284,https://mblogvideo-phinf.pstatic.net/MjAyNTA1MDhfMTEw/MDAxNzQ2NjM1NjczNDI1.PfVNrr-FDzdMzhh4R6IMjGso4zOG0-iehYcayf2gtJ0g.ViMqr5_AuDfNazFGod8PtV7XXbiSgtHLfRYO5K2WHV8g.GIF/1456775918.gif?type=mp4w800,super slinm Day,0.7088928539987993,success
223850114298,https://mblogvideo-phinf.pstatic.net/MjAyNTA0MjlfNzAg/MDAxNzQ1ODkxMDgxMDUy.EdxM7c2ABoUyEphiPtm0pfGnsSbwoCJYb-_IkdOm48Ag.E4kLraYDl6m01xl6X86qHam8ENWNX_bOds6kZ1fv9iAg.GIF/IMG_0960.GIF?type=mp4w800,,0.0,frame_extraction_failed
223850114298,https://mblogvideo-phinf.pstatic.net/MjAyNTA0MjlfMjc0/MDAxNzQ1ODkxMDgxMDgx.rB6u5xZIRYUDU89clQO8hB-SUE795B_LSVa2hvGM2tcg.ybayMC7eENEA7kwkNFj-7nCOKcEOFnjd32NomMtlY_sg.GIF/IMG_0964.GIF?type=mp4w800,,0.0,frame_extraction_failed
223825982664,https://mblogvideo-phinf.pstatic.net/MjAyNTA0MDhfMTMz/MDAxNzQ0MDc3NzY2NjEy.4bv1_bZzOrvJJt9AyirbE5ErvSHRSpTdkiAHRrvghJUg.EIZDS-STbRR23OrYsFWe9xHEqBIg7aa1MBPeGqiVep4g.GIF/IMG_0964.GIF?type=mp4w800,,0.0,frame_extraction_failed
223825982664,https://mblogvideo-phinf.pstatic.net/MjAyNTA0MDhfMTYg/MDAxNzQ0MDc3NzY2MzU2.vP3WebHwvEuvzQaTPM4DaGwE22QcyggapUK3WKzGWBIg.SM3NnSJL7SohNNDcvpQLzfHUNDhoxAX3xZsFXxrmijEg.GIF/IMG_0962.GIF?type=mp4w800,,0.0,frame_extraction_failed
223825982664,https://mblogvideo-phinf.pstatic.net/MjAyNTA0MDhfMTA1/MDAxNzQ0MDc3NzY1OTUx.0P82qzVHxlLhxM4jE_13yGasWBZ37xTMn0UvDqTqInMg.c5x1T_gd5IETTG07AsYkG7ukaI9nxxGONBtEvtR09j8g.GIF/IMG_0960.GIF?type=mp4w800,,0.0,frame_extraction_failed
223825884941,https://mblogvideo-phinf.pstatic.net/MjAyNTA0MDhfNDcg/MDAxNzQ0MDcwNDM3NjYw.xhvZYC3IxE5ma-4SD6e1dqgn303QZjwPobkzHWGjlzMg.0sgISqyDVv93vWTqyU3SdR9LLB7-OSrLm-j0WnwOvs4g.GIF/IMG_0964.GIF?type=mp4w800,,0.0,frame_extraction_failed
223825884941,https://mblogvideo-phinf.pstatic.net/MjAyNTA0MDhfMjk4/MDAxNzQ0MDcwNDM4MDE1.pw9Rxu-0ysDbXOc8bg2XJtIv6W0FAB5-bjdrswIvX_Ug.FAbkadYW0ujTiJUxjqcgCnwaLYixxNSeWJCSRe7D4KAg.GIF/IMG_0960.GIF?type=mp4w800,,0.0,frame_extraction_failed
223825884941,https://mblogvideo-phinf.pstatic.net/MjAyNTA0MDhfNjUg/MDAxNzQ0MDcwNDM3Njc2.lFxh10aMR7qUbSRfTELIyrg-TlMJWWuqF7Gxvtxu97Ig.H7puUyjfmA5HA4Owf5qcL20UTUyWKmKTKewMCRH8WeEg.GIF/IMG_0962.GIF?type=mp4w800,,0.0,frame_extraction_failed
