post_id,url,video_id,transcript,language,status
223693501931,https://www.youtube.com/embed/nJcnJZTi10A?feature=oembed,nJcnJZTi10A,,,error: type object 'YouTubeTranscriptApi' has no attribut
223630492809,https://www.youtube.com/embed/rXPkqll72Ic?feature=oembed,rXPkqll72Ic,,,error: type object 'YouTubeTranscriptApi' has no attribut
223526229350,https://www.youtube.com/embed/3h70ksq-diE?feature=oembed,3h70ksq-diE,,,error: type object 'YouTubeTranscriptApi' has no attribut
223526229350,https://www.youtube.com/embed/mq6-OlJipFo?feature=oembed,mq6-OlJipFo,,,error: type object 'YouTubeTranscriptApi' has no attribut
224010093621,https://www.youtube.com/embed/yur6xFC1uYE?feature=oembed,yur6xFC1uYE,,,error: type object 'YouTubeTranscriptApi' has no attribut
223969035754,https://www.youtube.com/embed/85t8WxZONYg?feature=oembed,85t8WxZONYg,,,error: type object 'YouTubeTranscriptApi' has no attribut
223970962915,https://www.youtube.com/embed/4h_LB5rodzI?feature=oembed,4h_LB5rodzI,,,error: type object 'YouTubeTranscriptApi' has no attribut
224059809627,https://www.youtube.com/embed/Z2jI2_zGhkM?feature=oembed,Z2jI2_zGhkM,,,error: type object 'YouTubeTranscriptApi' has no attribut
223657890676,https://www.youtube.com/embed/jVWWUIfCl-A?feature=oembed,jVWWUIfCl-A,,,error: type object 'YouTubeTranscriptApi' has no attribut
223657818741,https://www.youtube.com/embed/sPDx3e7GzM0?feature=oembed,sPDx3e7GzM0,,,error: type object 'YouTubeTranscriptApi' has no attribut
224058677231,https://www.youtube.com/embed/-MIgtuk7zX0?feature=oembed,-MIgtuk7zX0,,,error: type object 'YouTubeTranscriptApi' has no attribut
224052097294,https://www.youtube.com/embed/5fAvmEKAbpI?feature=oembed,5fAvmEKAbpI,,,error: type object 'YouTubeTranscriptApi' has no attribut
224052145773,https://www.youtube.com/embed/oodJq_SCg48?feature=oembed,oodJq_SCg48,,,error: type object 'YouTubeTranscriptApi' has no attribut
224052108578,https://www.youtube.com/embed/NPyJGeixzAA?feature=oembed,NPyJGeixzAA,,,error: type object 'YouTubeTranscriptApi' has no attribut
224051743554,https://www.youtube.com/embed/rS6Up1ZUHko?feature=oembed,rS6Up1ZUHko,,,error: type object 'YouTubeTranscriptApi' has no attribut
223773889124,https://www.youtube.com/embed/svre_xOXdmI?feature=oembed,svre_xOXdmI,,,error: type object 'YouTubeTranscriptApi' has no attribut
223769262787,https://www.youtube.com/embed/CAsqoGnE_Fg?feature=oembed,CAsqoGnE_Fg,,,error: type object 'YouTubeTranscriptApi' has no attribut
224031351630,https://www.youtube.com/embed/0v7bdH1lcyc?feature=oembed,0v7bdH1lcyc,,,error: type object 'YouTubeTranscriptApi' has no attribut
223098144117,https://www.youtube.com/embed/EmPd2szKkto?feature=oembed,EmPd2szKkto,,,error: type object 'YouTubeTranscriptApi' has no attribut
223356609639,https://www.youtube.com/embed/IadBPp-a3Dc?feature=oembed,IadBPp-a3Dc,,,error: type object 'YouTubeTranscriptApi' has no attribut
223356609639,https://www.youtube.com/embed/UA3-ofLxdGc?feature=oembed,UA3-ofLxdGc,,,error: type object 'YouTubeTranscriptApi' has no attribut
223356609639,https://www.youtube.com/embed/MGoWacG2IDU?feature=oembed,MGoWacG2IDU,,,error: type object 'YouTubeTranscriptApi' has no attribut
223356609639,https://www.youtube.com/embed/vj5djvRqipA?feature=oembed,vj5djvRqipA,,,error: type object 'YouTubeTranscriptApi' has no attribut
223267829142,https://www.youtube.com/embed/Ce9krh247fI?feature=oembed,Ce9krh247fI,,,error: type object 'YouTubeTranscriptApi' has no attribut
223267829142,https://www.youtube.com/embed/25xz43Mu7-k?feature=oembed,25xz43Mu7-k,,,error: type object 'YouTubeTranscriptApi' has no attribut
223267829142,https://www.youtube.com/embed/HtFDDp62gWQ?feature=oembed,HtFDDp62gWQ,,,error: type object 'YouTubeTranscriptApi' has no attribut
223267829142,https://www.youtube.com/embed/9jqtcPU2w24?feature=oembed,9jqtcPU2w24,,,error: type object 'YouTubeTranscriptApi' has no attribut
223267829142,https://www.youtube.com/embed/CiFV69DnE1M?feature=oembed,CiFV69DnE1M,,,error: type object 'YouTubeTranscriptApi' has no attribut
223176381075,https://www.youtube.com/embed/ZILy36hG0p4?feature=oembed,ZILy36hG0p4,,,error: type object 'YouTubeTranscriptApi' has no attribut
223129465086,https://www.youtube.com/embed/HbuAOcKc3YY?feature=oembed,HbuAOcKc3YY,,,error: type object 'YouTubeTranscriptApi' has no attribut
223128200252,https://www.youtube.com/embed/dVzzXrQkOU4?feature=oembed,dVzzXrQkOU4,,,error: type object 'YouTubeTranscriptApi' has no attribut
223122767077,https://www.youtube.com/embed/Z-mJDWQFSOs?feature=oembed,Z-mJDWQFSOs,,,error: type object 'YouTubeTranscriptApi' has no attribut
223099515114,https://www.youtube.com/embed/dVzzXrQkOU4?feature=oembed,dVzzXrQkOU4,,,error: type object 'YouTubeTranscriptApi' has no attribut
223062354030,https://www.youtube.com/embed/YEpm-NZhZiA?feature=oembed,YEpm-NZhZiA,,,error: type object 'YouTubeTranscriptApi' has no attribut
223055328686,https://www.youtube.com/embed/xjBCnBei844?feature=oembed,xjBCnBei844,,,error: type object 'YouTubeTranscriptApi' has no attribut
223052970211,https://www.youtube.com/embed/gqN4KtCZLi8?feature=oembed,gqN4KtCZLi8,,,error: type object 'YouTubeTranscriptApi' has no attribut
223048928224,https://www.youtube.com/embed/q7LIR8D43ys?feature=oembed,q7LIR8D43ys,,,error: type object 'YouTubeTranscriptApi' has no attribut
223047633571,https://www.youtube.com/embed/IK9C9w9xacI?feature=oembed,IK9C9w9xacI,,,error: type object 'YouTubeTranscriptApi' has no attribut
223042078896,https://www.youtube.com/embed/e5UfSIChpOo?feature=oembed,e5UfSIChpOo,,,error: type object 'YouTubeTranscriptApi' has no attribut
223037856769,https://www.youtube.com/embed/TKZIfcyZW2s?feature=oembed,TKZIfcyZW2s,,,error: type object 'YouTubeTranscriptApi' has no attribut
223035926437,https://www.youtube.com/embed/ojFy1TwgYhY?feature=oembed,ojFy1TwgYhY,,,error: type object 'YouTubeTranscriptApi' has no attribut
223033295794,https://www.youtube.com/embed/YbDqJh8Q4j0?feature=oembed,YbDqJh8Q4j0,,,error: type object 'YouTubeTranscriptApi' has no attribut
223028976079,https://www.youtube.com/embed/Vk2lf0zXBpk?feature=oembed,Vk2lf0zXBpk,,,error: type object 'YouTubeTranscriptApi' has no attribut
222995769369,https://www.youtube.com/embed/p8c672lQpjE?feature=oembed,p8c672lQpjE,,,error: type object 'YouTubeTranscriptApi' has no attribut
222978920753,https://www.youtube.com/embed/7Uyb25GG1yI?feature=oembed,7Uyb25GG1yI,,,error: type object 'YouTubeTranscriptApi' has no attribut
222978920753,https://www.youtube.com/embed/LJhL6m9NtHk?feature=oembed,LJhL6m9NtHk,,,error: type object 'YouTubeTranscriptApi' has no attribut
222976864911,https://www.youtube.com/embed/bTAMUWuxy_4?feature=oembed,bTAMUWuxy_4,,,error: type object 'YouTubeTranscriptApi' has no attribut
